user,language,anger,bitter,fear,joy,peace,power,sad,surprise,tender,tension,transcendence,excerpt,emotion,quadrant,preference,pref_enc,familiarity,fam_enc,understanding,und_enc,mus_train,mus_train_encod,emotions,emotions_enc,mus_soph,mus_soph_enc
106,mandarin,1,1,1,5,5,5,1,5,3,1,1,joy_1,joy,q1_a_pos_v_pos,4,1,1,0,3, ,41,1,42,1,115,1
107,mandarin,1,1,1,5,1,5,1,3,1,1,1,joy_1,joy,q1_a_pos_v_pos,5,1,5,1,4,1,23,0,37,1,65,0
108,mandarin,3,2,2,4,3,5,2,3,2,3,3,joy_1,joy,q1_a_pos_v_pos,5,1,4,1,4,1,22,0,34,0,74,0
109,german,1,1,1,5,2,2,1,1,2,1,1,joy_1,joy,q1_a_pos_v_pos,3, ,5,1,5,1,23,0,32,0,54,0
110,german,1,1,1,5,1,4,2,2,2,2,2,joy_1,joy,q1_a_pos_v_pos,2,0,4,1,4,1,37,1,39,1,112,1
111,german,3,3,3,4,3,3,2,3,3,2,2,joy_1,joy,q1_a_pos_v_pos,1,0,1,0,3, ,19,0,33,0,76,0
112,german,1,1,1,5,1,2,1,3,1,3,1,joy_1,joy,q1_a_pos_v_pos,3, ,5,1,5,1,43,1,39,1,101,1
113,german,1,1,1,5,2,1,1,2,1,2,1,joy_1,joy,q1_a_pos_v_pos,3, ,5,1,5,1,8,0,35,1,43,0
114,german,1,1,1,5,2,4,1,3,2,1,1,joy_1,joy,q1_a_pos_v_pos,3, ,5,1,5,1,37,1,39,1,118,1
115,german,2,2,2,4,4,2,4,3,2,2,2,joy_1,joy,q1_a_pos_v_pos,3, ,4,1,4,1,39,1,36,1,104,1
116,german,1,1,1,5,3,1,1,3,3,3,4,joy_1,joy,q1_a_pos_v_pos,4,1,5,1,5,1,40,1,36,1,90,1
117,german,1,1,1,5,4,2,1,3,1,3,4,joy_1,joy,q1_a_pos_v_pos,3, ,5,1,5,1,39,1,36,1,114,1
118,german,2,2,1,5,3,3,2,2,3,3,4,joy_1,joy,q1_a_pos_v_pos,4,1,4,1,3, ,39,1,28,0,79,0
119,german,1,1,1,5,1,5,1,4,3,4,4,joy_1,joy,q1_a_pos_v_pos,4,1,5,1,4,1,36,1,36,1,90,1
120,german,1,1,1,3,3,2,1,1,2,3,1,joy_1,joy,q1_a_pos_v_pos,1,0,5,1,4,1,32,1,36,1,92,1
121,german,1,1,1,4,2,4,1,1,1,2,1,joy_1,joy,q1_a_pos_v_pos,1,0,5,1,5,1,17,0,32,0,44,0
122,german,1,1,1,4,3,3,1,4,1,4,2,joy_1,joy,q1_a_pos_v_pos,4,1,4,1,4,1,14,0,30,0,78,0
123,german,1,1,1,3,1,1,1,1,1,2,1,joy_1,joy,q1_a_pos_v_pos,1,0,1,0,5,1,35,1,40,1,113,1
124,german,1,1,1,5,3,1,1,3,1,1,1,joy_1,joy,q1_a_pos_v_pos,4,1,5,1,5,1,23,0,21,0,56,0
125,german,1,1,1,4,2,4,1,4,1,5,1,joy_1,joy,q1_a_pos_v_pos,1,0,1,0,1,0,40,1,31,0,97,1
0,english,1,1,1,5,2,5,1,1,3,1,4,joy_2,joy,q1_a_pos_v_pos,5,1,5,1,5,1,32,1,39,1,96,1
1,english,1,1,1,5,5,5,1,5,5,5,5,joy_2,joy,q1_a_pos_v_pos,5,1,5,1,5,1,7,0,34,0,78,0
2,english,1,3,2,5,2,3,2,2,2,2,1,joy_2,joy,q1_a_pos_v_pos,2,0,5,1,4,1,13,0,11,0,67,0
3,english,1,1,1,5,1,3,1,3,2,1,3,joy_2,joy,q1_a_pos_v_pos,4,1,5,1,5,1,9,0,17,0,39,0
4,english,1,1,1,5,2,3,1,3,1,1,1,joy_2,joy,q1_a_pos_v_pos,4,1,5,1,5,1,10,0,28,0,42,0
5,english,1,1,1,5,2,4,1,1,1,1,1,joy_2,joy,q1_a_pos_v_pos,2,0,1,0,4,1,40,1,42,1,88,1
6,english,1,1,1,5,2,3,2,4,2,3,3,joy_2,joy,q1_a_pos_v_pos,4,1,3, ,3, ,30,1,31,0,78,0
7,english,1,1,1,4,4,1,4,3,2,3,2,joy_2,joy,q1_a_pos_v_pos,4,1,3, ,5,1,44,1,42,1,119,1
8,english,1,1,1,5,1,5,1,1,1,1,1,joy_2,joy,q1_a_pos_v_pos,4,1,4,1,3, ,45,1,36,1,110,1
9,english,1,1,1,5,5,5,1,3,4,2,2,joy_2,joy,q1_a_pos_v_pos,5,1,5,1,4,1,45,1,42,1,113,1
10,english,3,3,3,3,3,3,3,3,3,3,3,joy_2,joy,q1_a_pos_v_pos,3, ,3, ,3, ,21,0,25,0,66,0
11,english,2,2,2,3,2,3,2,2,2,2,1,joy_2,joy,q1_a_pos_v_pos,1,0,1,0,4,1,27,1,37,1,84,1
12,english,1,1,1,5,3,5,1,1,1,1,1,joy_2,joy,q1_a_pos_v_pos,5,1,4,1,4,1,34,1,39,1,94,1
13,english,1,1,1,5,1,4,1,3,1,1,1,joy_2,joy,q1_a_pos_v_pos,3, ,5,1,5,1,37,1,31,0,89,1
14,english,1,1,1,4,1,1,1,2,4,1,1,joy_2,joy,q1_a_pos_v_pos,3, ,5,1,5,1,25,0,37,1,82,1
15,english,1,1,1,5,3,4,1,1,2,2,2,joy_2,joy,q1_a_pos_v_pos,4,1,4,1,4,1,19,0,31,0,69,0
16,english,2,3,2,5,2,5,2,4,3,4,4,joy_2,joy,q1_a_pos_v_pos,5,1,1,0,5,1,41,1,40,1,109,1
17,english,1,1,1,5,4,4,1,4,4,4,3,joy_2,joy,q1_a_pos_v_pos,4,1,5,1,2,0,32,1,36,1,68,0
18,english,1,1,1,5,1,4,1,3,1,1,2,joy_2,joy,q1_a_pos_v_pos,5,1,5,1,5,1,41,1,38,1,113,1
19,english,1,1,1,5,1,5,1,4,1,1,1,joy_2,joy,q1_a_pos_v_pos,3, ,2,0,5,1,44,1,41,1,118,1
20,english,1,1,1,5,2,5,1,4,2,2,2,joy_2,joy,q1_a_pos_v_pos,4,1,5,1,4,1,33,1,40,1,102,1
21,english,1,1,1,5,3,4,1,4,1,4,4,joy_2,joy,q1_a_pos_v_pos,4,1,4,1,4,1,15,0,37,1,59,0
